Артикул,Наименование,Производитель,Свободно,В резерве,Ожидается,Тип
,3607511,Державка HDNNR 2525 M1305,TaeguTec,0,1,0,Корпус резца со сменными пластинами
,3607531,Державка HSSNR 2525 M0904   //устаревшая маркировка PSSNR 2525 M0904//,TaeguTec,2,0,0,Корпус резца со сменными пластинами
,3607544,Державка HVJNL 2525 M1304,TaeguTec,1,0,0,Корпус резца со сменными пластинами
,3600100,Державка PCBNL 2020 K12,TaeguTec,1,0,0,Корпус резца со сменными пластинами
,3600640,Державка PCBNL 3225 P12,TaeguTec,2,0,0,Корпус резца со сменными пластинами
,3605908,Державка PCBNL 4040 S1906D,TaeguTec,2,0,0,Корпус резца со сменными пластинами
,3605901,Державка PCLNR 4040 S1906D,TaeguTec,0,1,0,Корпус резца со сменными пластинами
,3600118,Державка PDNNL 2020 K15,TaeguTec,2,0,0,Корпус резца со сменными пластинами
,3600119,Державка PDNNR 2020 K15,TaeguTec,7,0,0,Корпус резца со сменными пластинами
,6341153,Державка PRGCL 3225 P16,TaeguTec,2,0,0,Корпус резца со сменными пластинами
,6341161,Державка PRGCR 3232 P20,TaeguTec,1,0,0,Корпус резца со сменными пластинами
,3600476,Державка PSBNL 2525 M12,TaeguTec,2,0,0,Корпус резца со сменными пластинами
,3605916,Державка PSBNL 4040 S2509D,TaeguTec,1,0,0,Корпус резца со сменными пластинами
,3600481,Державка PSBNR 2525 M12,TaeguTec,2,0,0,Корпус резца со сменными пластинами
,3607028,Державка PSBNR 4040 S2507D,TaeguTec,1,0,0,Корпус резца со сменными пластинами
,3600486,Державка PSDNN 2525 M15,TaeguTec,2,0,0,Корпус резца со сменными пластинами
,3600493,Державка PSSNL 2525 M12,TaeguTec,1,0,0,Корпус резца со сменными пластинами
,6342391,Державка PSSNR 3232 P12,TaeguTec,1,0,0,Корпус резца со сменными пластинами
,3600732,Державка PTFNR 2525 M16,Iscar,1,0,0,Корпус резца со сменными пластинами
,3600160,Державка PTGNL 2020 K16,TaeguTec,6,0,0,Корпус резца со сменными пластинами
,6341216,Державка PTGNL 4040 S27,TaeguTec,1,0,0,Корпус резца со сменными пластинами
,3600527,Державка PTTNR 2525 M16,TaeguTec,8,0,0,Корпус резца со сменными пластинами
,3601122,Державка расточная S08K STFPR 09,TaeguTec,3,0,0,Корпус резца со сменными пластинами
,6110371,Державка расточная S16Q HCLNR 0904,TaeguTec,2,0,0,Корпус резца со сменными пластинами
,3601192,Державка расточная S16R SDUCR 07,TaeguTec,0,1,0,Корпус резца со сменными пластинами
,3601195,Державка расточная S16R SSKCR 09,TaeguTec,1,0,0,Корпус резца со сменными пластинами
,3604944,Державка расточная S50U PCLNR 16,TaeguTec,1,0,0,Корпус резца со сменными пластинами
,3604945,Державка расточная S50U PCLNR 19,TaeguTec,1,0,0,Корпус резца со сменными пластинами
,6323941,Державка SCLNR 1212 K0703-RS,TaeguTec,1,0,0,Корпус резца со сменными пластинами
,3602084,Державка SDNCN 1616 H11,TaeguTec,5,0,0,Корпус резца со сменными пластинами
,6324819,Державка SFXCN 2525 M1006,TaeguTec,1,0,0,Корпус резца со сменными пластинами
,3600234,Державка SSDCN 1616 H09,TaeguTec,11,0,0,Корпус резца со сменными пластинами
,6341247,Картридж STFCL 10CA 11,TaeguTec,1,0,0,Корпус резца со сменными пластинами
,6320090,Державка SWLNR 2020 K0403,TaeguTec,1,0,0,Корпус резца со сменными пластинами
,6130385,Державка TCBNL 2525 M0904,TaeguTec,1,0,0,Корпус резца со сменными пластинами
,6130387,Державка TCKNL 2525 M0904,TaeguTec,1,0,0,Корпус резца со сменными пластинами
,6185110,Державка TCKNR 2525 M12-CH,TaeguTec,1,0,0,Корпус резца со сменными пластинами
,6120494,Державка TCLNL 2525 M0904,TaeguTec,1,0,0,Корпус резца со сменными пластинами
,3603293,Державка THSNR 2525 M05,TaeguTec,0,1,0,Корпус резца со сменными пластинами
,6123176,Державка TRGNL 3225 P1207-F,TaeguTec,3,0,0,Корпус резца со сменными пластинами
,3603363,Державка TSSNL 2525 M12,TaeguTec,1,0,0,Корпус резца со сменными пластинами
,3606389,Державка TTJNL 3225 M16,TaeguTec,2,0,0,Корпус резца со сменными пластинами
,6336434,Державка TXJNR 2525 M1105-TB,TaeguTec,1,0,0,Корпус резца со сменными пластинами
,6861032,Микрорезец MINFR07 200300D150 TT9030,TaeguTec,0,2,0,Микрорезец
,6861076,Микрорезец MINFR07 300300D150 TT9030,TaeguTec,0,2,0,Микрорезец
,6861146,Микрорезец MINTR07-290015D068 TT9030,TaeguTec,0,3,0,Микрорезец
,6136389,Пластина CCET 0602003 R-GF  CT3000,TaeguTec,10,0,0,Пластина
,6136482,Пластина CCET 0602003 R-GF TT9020,TaeguTec,0,6,0,Пластина
,5802441,Пластина CCGT 030104 L-FF  CT3000,TaeguTec,10,0,0,Пластина
,6136322,Пластина CCGT 040104 L-FF   TT9020,TaeguTec,20,0,0,Пластина
,5512909,Пластина CCGT 09T304 FL   K10,TaeguTec,8,0,0,Пластина
,5515738,Пластина CCMT 060204 FG     TT8020,TaeguTec,5,0,0,Пластина
,5520599,Пластина CCMT 060204 FG   TT9235,TaeguTec,0,30,0,Пластина
,5523615,Пластина CCMT 060204 MT   TT7015,TaeguTec,0,10,0,Пластина
,5516000,Пластина CCMT 09T308 FG   PV3010,TaeguTec,0,10,0,Пластина
,6155280,Пластина CCMT 09T308 FM     TT5100,TaeguTec,0,10,0,Пластина
,6213080,Пластина CCMT 09T308 MT    TT8135B,TaeguTec,0,8,0,Пластина
,5802187,Пластина CCMT 09T308 PC   CT3000,TaeguTec,0,7,0,Пластина
,5522838,Пластина CCMT 120404 PC   TT9080,TaeguTec,0,50,0,Пластина
,5522839,Пластина CCMT 120408 PC     TT9080,TaeguTec,0,50,0,Пластина
,6139414,Пластина CNGG 090408 ML   K10,TaeguTec,5,0,0,Пластина
,5519351,Пластина CNGG 120402 ML   K10,TaeguTec,0,5,0,Пластина
,5523779,Пластина CNMA 190608        TT7005,TaeguTec,10,0,0,Пластина
,6117860,Пластина CNMG 090404    TT7005,TaeguTec,10,0,0,Пластина
,6141225,Пластина CNMG 090404 MK   TT5080,TaeguTec,3,0,0,Пластина
,6136680,Пластина CNMG 090408 MK   TT5080,TaeguTec,8,0,0,Пластина
,6118470,Пластина CNMG 090408 MM   TT9235,TaeguTec,5,0,0,Пластина
,6128187,Пластина CNMG 090408 MT   TT5080,TaeguTec,3,0,0,Пластина
,6118291,Пластина CNMG 090412 EM   TT5080,TaeguTec,8,0,0,Пластина
,6125654,Пластина CNMG 090412 MM   TT9080,TaeguTec,9,0,0,Пластина
,6336755,Пластина CNMG 120404 EA     TT3010,TaeguTec,1,0,0,Пластина
,5518880,Пластина CNMG 120404 FC   PV3010,TaeguTec,0,50,0,Пластина
,5509739,Пластина CNMG 120404 ML     K10,TaeguTec,0,10,0,Пластина
,6188597,Пластина CNMG 120408 MGP  TT8125B,TaeguTec,3,0,0,Пластина
,6184976,Пластина CNMG 120408 MGS    TT3020,TaeguTec,3,0,0,Пластина
,5580419,Пластина CNMG 120408 ML     TT9080,TaeguTec,30,0,0,Пластина
,5523007,Пластина CNMG 120408 MT     TT5080,TaeguTec,0,10,0,Пластина
,6212912,Пластина CNMG 120408 MT  TT8125B,TaeguTec,0,10,0,Пластина
,5518846,Пластина CNMG 120408 PC   TT5100,TaeguTec,0,1,0,Пластина
,6212909,Пластина CNMG 120408 PC  TT8125B,TaeguTec,0,0,20,Пластина
,6308057,Пластина CNMG 120416 RGP  TT8125B,TaeguTec,2,0,0,Пластина
,6212732,Пластина CNMG 160616 RT    TT8125B,TaeguTec,0,99,0,Пластина
,5523226,Пластина CNMG 190612 EM     TT5080,TaeguTec,10,0,0,Пластина
,5521737,Пластина CNMG 190612 EM     TT9235,TaeguTec,0,20,0,Пластина
,5515898,Пластина CNMG 190612 MT     TT8020,TaeguTec,0,10,0,Пластина
,6118083,Пластина CNMG 190612 MT   TT9080,TaeguTec,0,20,0,Пластина
,5515626,Пластина CNMG 190616 RT     TT8020,TaeguTec,19,0,0,Пластина
,6213095,Пластина CNMG 190616 RT    TT8135B,TaeguTec,0,20,0,Пластина
,5516904,Пластина CNMM 190616 HD   TT7100,TaeguTec,6,0,0,Пластина
,6212866,Пластина CNMM 190616 HT    TT8125B,TaeguTec,10,0,0,Пластина
,5514616,Пластина CNMM 190616 RH   TT5100,TaeguTec,1,0,0,Пластина
,6323502,Пластина CNMX 070304 FGP  TT5080,TaeguTec,6,0,0,Пластина
,5517346,Пластина DCET 11T302 R-GF  TT9020,TaeguTec,2,0,0,Пластина
,6173001,Пластина DCET 11T302 R-GF  TT9080,TaeguTec,8,0,0,Пластина
,5523210,Пластина DCGT 11T301 SA   TT5080,TaeguTec,4,0,0,Пластина
,5513030,Пластина DCGT 11T304 FL   K10,TaeguTec,0,7,0,Пластина
,5513041,Пластина DCGT 11T308 FL   K10,TaeguTec,0,50,0,Пластина
,5516021,Пластина DCMT 070204 FG   PV3010,TaeguTec,5,0,0,Пластина
,6212342,Пластина DCMT 11T304 PC    TT8115B,TaeguTec,0,10,0,Пластина
,5523124,Пластина DNGG 150404 ML   TT5080,TaeguTec,30,0,0,Пластина
,5523750,Пластина DNMA 150412    TT7005,TaeguTec,1,0,0,Пластина
,5523635,Пластина DNMA 150412    TT7015,TaeguTec,10,0,0,Пластина
,5522416,Пластина DNMG 110408 EM   TT9215,TaeguTec,0,20,0,Пластина
,5514871,Пластина DNMG 150408 MC   TT5100,TaeguTec,18,0,0,Пластина
,5515024,Пластина DNMG 150604 FG     TT5100,TaeguTec,0,10,0,Пластина
,5517423,Пластина DNMG 150604 L-VF   TT5100,TaeguTec,0,30,0,Пластина
,6212883,Пластина DNMG 150608 FC  TT8125B,TaeguTec,0,40,0,Пластина
,6335896,Пластина FCMX 100616-HFG  TT9225,TaeguTec,3,0,0,Пластина
,5517602,Пластина HNMG 050408 GU   TT5100,TaeguTec,0,6,0,Пластина
,5519749,Пластина HNMG 050408 GU   TT7100,TaeguTec,1,0,0,Пластина
,5519748,Пластина HNMG 050408 GU   TT8020,TaeguTec,0,10,0,Пластина
,5523132,Пластина HNMG 050408 SU   TT5080,TaeguTec,0,9,0,Пластина
,5517599,Пластина HNMG 050408 SU   TT5100,TaeguTec,0,6,0,Пластина
,5523140,Пластина HNMG 100612 SU   TT5080,TaeguTec,10,0,0,Пластина
,5514766,Пластина KNUX 160405 L11  TT5100,TaeguTec,9,0,0,Пластина
,5520034,Пластина KNUX 160405 R11  TT9225,TaeguTec,0,30,0,Пластина
,6212300,Пластина RCMT 10T300 MT    TT8125B,TaeguTec,0,80,0,Пластина
,5523696,Пластина RCMT 160600 MT   TT7015,TaeguTec,10,0,0,Пластина
,5515102,Пластина RCMX 100300    TT5100,TaeguTec,0,340,0,Пластина
,5514813,Пластина RCMX 120400    TT5100,TaeguTec,5,0,0,Пластина
,5500867,Пластина RCMX 200600    K10,TaeguTec,6,0,0,Пластина
,5523700,Пластина RCMX 200600    TT7015,TaeguTec,5,0,0,Пластина
,5514078,Пластина SCGT 09T308 FL   K10,TaeguTec,50,0,0,Пластина
,5513989,Пластина SCGT 120408 FL   K10,TaeguTec,37,0,0,Пластина
,5801502,Пластина SCMT 09T304 MT   CT3000,TaeguTec,24,0,0,Пластина
,5801503,Пластина SCMT 09T308 MT   CT3000,TaeguTec,20,0,0,Пластина
,5523621,Пластина SCMT 09T308 MT     TT7015,TaeguTec,0,8,0,Пластина
,5523038,Пластина SCMT 120408 MT   TT5080,TaeguTec,0,20,0,Пластина
,5523703,Пластина SCMT 120412 MT     TT7015,TaeguTec,0,10,0,Пластина
,5523706,Пластина SNMA 150616    TT7015,TaeguTec,30,0,0,Пластина
,5523707,Пластина SNMA 190612        TT7015,TaeguTec,0,7,0,Пластина
,6106431,Пластина SNMG 090412 MT   TT5100,TaeguTec,10,0,0,Пластина
,5523060,Пластина SNMG 120408 MP   TT5080,TaeguTec,48,2,0,Пластина
,5514825,Пластина SNMG 120408 MT   TT5100,TaeguTec,0,12,0,Пластина
,5515049,Пластина SNMG 120412 MP   TT5100,TaeguTec,2,0,0,Пластина
,5523022,Пластина SNMG 120412 MT     TT5080,TaeguTec,2,0,0,Пластина
,5518407,Пластина SNMG 120412 RT   TT7310,TaeguTec,1,0,0,Пластина
,5520355,Пластина SNMG 120412 RT   TT9235,TaeguTec,0,10,0,Пластина
,5515056,Пластина SNMG 120416    TT5100,TaeguTec,4,0,0,Пластина
,5515057,Пластина SNMG 150608    TT5100,TaeguTec,2,0,0,Пластина
,5580407,Пластина SNMG 190612 ET     TT9080,TaeguTec,0,20,0,Пластина
,5515209,Пластина SNMG 190612 RT     TT5100,TaeguTec,5,0,0,Пластина
,5522430,Пластина SNMG 190616 EM   TT9235,TaeguTec,6,0,0,Пластина
,6184973,Пластина SNMG 190616 MGS  TT3020,TaeguTec,4,0,0,Пластина
,5514897,Пластина SNMG 190616 RT   TT5100,TaeguTec,0,8,0,Пластина
,5518300,Пластина SNMG 190616 RT   TT7100,TaeguTec,0,1,0,Пластина
,5515061,Пластина SNMG 250724    TT5100,TaeguTec,2,0,0,Пластина
,5523163,Пластина SNMG 250924 RT   TT5080,TaeguTec,3,0,0,Пластина
,6212271,Пластина SNMG 250924 RT    TT8125B,TaeguTec,0,10,0,Пластина
,5515064,Пластина SNMM 120412 RH   TT5100,TaeguTec,33,0,0,Пластина
,5518087,Пластина SNMM 190612 HT   TT5100,TaeguTec,3,0,0,Пластина
,5518088,Пластина SNMM 190612 HT   TT7100,TaeguTec,10,0,0,Пластина
,5516781,Пластина SNMM 190612 RH   TT7100,TaeguTec,10,0,0,Пластина
,5517855,Пластина SNMM 190616 HT   TT7100,TaeguTec,85,0,0,Пластина
,5516901,Пластина SNMM 190616 RH   TT7100,TaeguTec,40,0,0,Пластина
,5515290,Пластина SPMR 090304    TT5100,TaeguTec,20,0,0,Пластина
,5515105,Пластина SPMR 090308    TT5100,TaeguTec,3,0,0,Пластина
,5500969,Пластина SPUN 120308    K10,TaeguTec,18,0,0,Пластина
,6155736,Пластина TCMT 090202 FM   TT5080,TaeguTec,0,8,0,Пластина
,6155587,Пластина TCMT 090202 FM   TT5100,TaeguTec,0,20,0,Пластина
,6155738,Пластина TCMT 090202 FM   TT8020,TaeguTec,0,20,0,Пластина
,5801514,Пластина TCMT 090204 MT   CT3000,TaeguTec,10,0,0,Пластина
,5515113,Пластина TCMT 090204 MT   TT5100,TaeguTec,10,0,0,Пластина
,6213037,Пластина TCMT 16T304 MT    TT8125B,TaeguTec,0,10,0,Пластина
,6213059,Пластина TCMT 16T308 MT    TT8125B,TaeguTec,0,340,0,Пластина
,5522874,Пластина TNMG 160404 EA   TT9080,TaeguTec,0,5,0,Пластина
,5802100,Пластина TNMG 160404 FC     CT3000,TaeguTec,10,0,0,Пластина
,5515735,Пластина TNMG 160404 MT     TT8020,TaeguTec,0,100,0,Пластина
,5521754,Пластина TNMG 160408 EM     TT9225,TaeguTec,9,0,0,Пластина
,5802101,Пластина TNMG 160408 FC     CT3000,TaeguTec,10,0,0,Пластина
,5801538,Пластина TNMG 160408 FG     CT3000,TaeguTec,0,9,0,Пластина
,6212982,Пластина TNMG 160408 FG  TT8115B,TaeguTec,0,29,0,Пластина
,5515526,Пластина TNMG 160408 MP     TT8020,TaeguTec,0,10,0,Пластина
,5522173,Пластина TNMG 160408 PC     TT9080,TaeguTec,0,10,0,Пластина
,5518825,Пластина TNMG 220412 ML   K10,TaeguTec,9,0,0,Пластина
,6212524,Пластина TNMG 220412 MT  TT8125B,TaeguTec,0,3,0,Пластина
,5801546,Пластина TPGX 090202 L   CT3000,TaeguTec,0,0,10,Пластина
,5514851,Пластина TPGX 090204 L   K10,TaeguTec,3,2,0,Пластина
,5801566,Пластина TPGX 110302 L      CT3000,TaeguTec,10,0,0,Пластина
,5801750,Пластина TPGX 110304 R   CT3000,TaeguTec,40,0,0,Пластина
,5514912,Пластина TPMR 110308    TT5100,TaeguTec,0,8,0,Пластина
,5515705,Пластина TPMR 160308        TT8020,TaeguTec,10,0,0,Пластина
,6141745,Пластина VBMT 160404 FA     PV3010,TaeguTec,0,10,0,Пластина
,5521189,Пластина VBMT 160404 PC   TT9225,TaeguTec,0,20,0,Пластина
,5521185,Пластина VBMT 160408 PC   TT9225,TaeguTec,0,20,0,Пластина
,6155836,Пластина VCMT 080204 FM     TT5080,TaeguTec,0,10,0,Пластина
,6212239,Пластина VCMT 080204 PC    TT8125B,TaeguTec,0,20,0,Пластина
,6212431,Пластина VNMG 160404 MT    TT8115B,TaeguTec,0,20,0,Пластина
,6142620,Пластина VNMX 130408 PC   TT5100,TaeguTec,0,200,0,Пластина
,5521773,Пластина WNMG 080408 EM   TT9235,TaeguTec,0,50,0,Пластина
,6310103,Пластина WNMG 080408 MGS    TT3005,TaeguTec,7,0,0,Пластина
,6309047,Пластина WNMG 080408 MGS  TT3020,TaeguTec,0,10,0,Пластина
,6213170,Пластина WNMG 080408 PC    TT8105B,TaeguTec,0,10,0,Пластина
,5523465,Пластина WNMG 080412 ET   TT5080,TaeguTec,0,27,0,Пластина
,5580910,Пластина WNMG 080412 KT     TT7015,TaeguTec,10,0,0,Пластина
,6141275,Пластина WNMX 060404 MK   TT9225,TaeguTec,7,0,0,Пластина
,6129146,Пластина WNMX 060408 EM   TT9215,TaeguTec,1,0,0,Пластина
,6129085,Пластина WNMX 060408 FG   PV3010,TaeguTec,8,0,0,Пластина
,6129138,Пластина WNMX 060408 FM   TT5100,TaeguTec,8,0,0,Пластина
,6158606,Пластина WNMX 060408 FM   TT8105,TaeguTec,10,0,0,Пластина
,6131756,Пластина WNMX 060408 MM   TT5100,TaeguTec,4,0,0,Пластина
,6129141,Пластина WNMX 060408 MT   TT5100,TaeguTec,10,0,0,Пластина
,6129142,Пластина WNMX 060412 MT   TT5100,TaeguTec,10,0,0,Пластина
,6179303,Пластина XNMG 110508 FGP  TT8115B,TaeguTec,5,7,0,Пластина
,6179304,Пластина XNMG 110508 FGP  TT8125B,TaeguTec,0,7,0,Пластина
,6176977,Пластина XNMG 110508 MLP  TT8125B,TaeguTec,0,7,0,Пластина
,5580673,Пластина канавочная XCMT 10R-300030GV TT8020,TaeguTec,8,0,0,Пластина канавочная
,6187825,Пластина канавочная RDC 3              TT8020,TaeguTec,8,0,0,Пластина канавочная
,6187823,Пластина канавочная RDC 3              TT9080,TaeguTec,8,0,0,Пластина канавочная
,6188075,Пластина канавочная RDJ 3              TT8020,TaeguTec,8,0,0,Пластина канавочная
,6188076,Пластина канавочная RDJ 3              TT9080,TaeguTec,8,0,0,Пластина канавочная
,6000197,Пластина канавочная TDC 2       TT7220,TaeguTec,10,0,0,Пластина канавочная
,6000490,Пластина канавочная TDC 2       TT9030,TaeguTec,0,0,20,Пластина канавочная
,6000998,Пластина канавочная TDC 2       TT9080,TaeguTec,40,0,0,Пластина канавочная
,6000378,Пластина канавочная TDC 2-15L     TT8020,TaeguTec,6,0,0,Пластина канавочная
,6000199,Пластина канавочная TDC 2-6L      TT7220,TaeguTec,10,0,0,Пластина канавочная
,6000277,Пластина канавочная TDC 3       K10,TaeguTec,0,2,0,Пластина канавочная
,6000200,Пластина канавочная TDC 3       TT8020,TaeguTec,0,7,0,Пластина канавочная
,6000206,Пластина канавочная TDC 4       TT8020,TaeguTec,0,35,0,Пластина канавочная
,6000492,Пластина канавочная TDC 4       TT9030,TaeguTec,0,0,10,Пластина канавочная
,6001000,Пластина канавочная TDC 4       TT9080,TaeguTec,0,20,0,Пластина канавочная
,6000212,Пластина канавочная TDC 5       TT8020,TaeguTec,0,6,0,Пластина канавочная
,6000318,Пластина канавочная TDJ 2              K10,TaeguTec,0,5,0,Пластина канавочная
,6001109,Пластина канавочная TDJ 2       TT9080,TaeguTec,0,16,0,Пластина канавочная
,6000174,Пластина канавочная TDJ 3       TT8020,TaeguTec,0,20,0,Пластина канавочная
,6000180,Пластина канавочная TDJ 4       TT8020,TaeguTec,10,0,0,Пластина канавочная
,6000192,Пластина канавочная TDJ 6       TT8020,TaeguTec,2,10,0,Пластина канавочная
,6308715,Пластина канавочная TIMC 5       TT8020,TaeguTec,40,0,0,Пластина канавочная
,6000803,Пластина канавочная TSC 8              TT8020,TaeguTec,0,10,0,Пластина канавочная
,6308783,Пластина канавочная TSJ 5       TT8020,TaeguTec,9,0,0,Пластина канавочная
,6000713,Пластина канавочная TTG 32L 05012R05-C TT9030,TaeguTec,5,0,0,Пластина канавочная
,6000719,Пластина канавочная TTG 32L 20025R10-C TT9030,TaeguTec,20,0,0,Пластина канавочная
,6400310,Пластина канавочная TDFT 4E-0.4L    TT7220,TaeguTec,30,0,0,Пластина канавочная
,6402129,Пластина канавочная TDIM 3E-0.2    TT9080,TaeguTec,0,10,0,Пластина канавочная
,6308839,Пластина канавочная TDT 10.00E-0.80  TT9080,TaeguTec,0,3,0,Пластина канавочная
,6402272,Пластина канавочная TDT 3E-0.4         TT9080,TaeguTec,30,0,0,Пластина канавочная
,6321283,Пластина канавочная TDT 3E-1.5-RU      TT3010,TaeguTec,7,0,0,Пластина канавочная
,6401277,Пластина канавочная TDT 3E-1.5-RU   TT9080,TaeguTec,5,0,0,Пластина канавочная
,6400300,Пластина канавочная TDT 4.15-0.15   TT7220,TaeguTec,10,0,0,Пластина канавочная
,6180205,Пластина канавочная TDT 4.15E-0.15   TT9080,TaeguTec,10,0,0,Пластина канавочная
,6400357,Пластина канавочная TDT 4.78E-0.55   TT7220,TaeguTec,10,0,0,Пластина канавочная
,6400293,Пластина канавочная TDT 4E-0.4         K10,TaeguTec,0,7,0,Пластина канавочная
,5701581,Пластина керамическая TDT 4E-0.4T CE   AB30,TaeguTec,0,1,0,Пластина канавочная
,6401490,Пластина канавочная TDT 5E-2.5-RU   K10,TaeguTec,10,0,0,Пластина канавочная
,5701631,Пластина керамическая TDT 6E-0.8T CE   AB30,TaeguTec,0,75,0,Пластина канавочная
,6401068,Пластина канавочная TDT 8.00E-0.80     TT9030,TaeguTec,0,10,0,Пластина канавочная
,6401243,Пластина канавочная TDT 8E-4.0-RU   TT9030,TaeguTec,0,10,0,Пластина канавочная
,6402087,Пластина канавочная TDT 8E-4.0-RU      TT9080,TaeguTec,0,20,0,Пластина канавочная
,6401024,Пластина канавочная TDXU 3E-0.3    TT9030,TaeguTec,0,10,0,Пластина канавочная
,6401279,Пластина канавочная TDXU 3E-0.3    TT9080,TaeguTec,40,0,0,Пластина канавочная
,6401001,Пластина канавочная TDXU 4E-0.4    TT9030,TaeguTec,0,0,100,Пластина канавочная
,6401280,Пластина канавочная TDXU 4E-0.4    TT9080,TaeguTec,0,30,0,Пластина канавочная
,6401025,Пластина канавочная TDXU 5E-0.4        TT9030,TaeguTec,0,30,0,Пластина канавочная
,6402084,Пластина канавочная TDXU 6E-0.8    TT9080,TaeguTec,0,4,8,Пластина канавочная
,6402085,Пластина канавочная TDXU 8E-0.8    TT9080,TaeguTec,0,40,0,Пластина канавочная
,6401258,Пластина канавочная TGUX 1004     P40,TaeguTec,20,0,0,Пластина канавочная
,6108787,Пластина канавочная TQC 27-1.70-0.10  TT9080,TaeguTec,3,0,0,Пластина канавочная
,6108791,Пластина канавочная TQC 27-1.85-0.20  TT9080,TaeguTec,3,0,0,Пластина канавочная
,6402202,Пластина канавочная TQJ 27-1.40-0.00  TT9080,TaeguTec,2,0,0,Пластина канавочная
,6402207,Пластина канавочная TQJ 27-1.57-0.79  TT9080,TaeguTec,20,0,0,Пластина канавочная
,6402241,Пластина канавочная TQJ 27-2.00-15R  TT9080,TaeguTec,4,0,0,Пластина канавочная
,5400390,Пластина ПКА TSA 8.00-4.00   KP300,TaeguTec,9,0,0,Пластина канавочная
,5700315,Пластина керамическая CNGA 160616    AB30,TaeguTec,0,10,0,Пластина керамическая
,5700037,Пластина керамическая CNGN 120408    AB20,TaeguTec,6,0,0,Пластина керамическая
,5703524,Пластина керамическая CNGN 120416 T6   TC430,TaeguTec,10,0,0,Пластина керамическая
,5700382,Пластина керамическая DNGA 150616    AB30,TaeguTec,0,10,0,Пластина керамическая
,5703854,Пластина керамическая RCGX 060600 T6   TC430,TaeguTec,0,80,0,Пластина керамическая
,5701750,Пластина керамическая RCGX 060600 U1   AB30,TaeguTec,0,80,0,Пластина керамическая
,5702439,Пластина керамическая RCGX 090700 T6   AS20,TaeguTec,0,142,0,Пластина керамическая
,5703531,Пластина керамическая RCGX 090700 T6   TC430,TaeguTec,0,74,0,Пластина керамическая
,5700434,Пластина керамическая RCGX 090700 U1   AB30,TaeguTec,0,71,0,Пластина керамическая
,5702440,Пластина керамическая RCGX 120700 T6   AS20,TaeguTec,0,40,0,Пластина керамическая
,6182037,Пластина керамическая RCGX 120700 T6   TC3030,TaeguTec,6,0,0,Пластина керамическая
,5703536,Пластина керамическая RCGX 120700 T6   TC430,TaeguTec,0,5,20,Пластина керамическая
,5700439,Пластина керамическая RCGX 120700 U2   AB30,TaeguTec,0,105,0,Пластина керамическая
,5700443,Пластина керамическая RCGX 151000 U2   AB30,TaeguTec,4,0,0,Пластина керамическая
,5700446,Пластина керамическая RCGX 191000 U2   AB30,TaeguTec,0,40,0,Пластина керамическая
,6185129,Пластина керамическая RCGX 251200 U3   AB30,TaeguTec,0,82,0,Пластина керамическая
,5702691,Пластина керамическая RNGN 120700    AB2010,TaeguTec,4,0,0,Пластина керамическая
,5701681,Пластина керамическая RNGN 120700 T6   AS20,TaeguTec,1,0,0,Пластина керамическая
,5703422,Пластина керамическая RPGN 120400 T6   TC430,TaeguTec,5,0,0,Пластина керамическая
,5700528,Пластина керамическая SNGA 120404    AB30,TaeguTec,7,0,0,Пластина керамическая
,5702698,Пластина керамическая SNGN 120416    AB2010,TaeguTec,4,0,0,Пластина керамическая
,5702701,Пластина керамическая SNGN 120712 S7   AB2010,TaeguTec,0,6,0,Пластина керамическая
,5703163,Пластина керамическая SNGN 120712 T6   AB30,TaeguTec,0,8,0,Пластина керамическая
,5703543,Пластина керамическая SNGN 120712 T6   TC430,TaeguTec,419,0,0,Пластина керамическая
,5702237,Пластина керамическая SNGX 150716 T7-CH AS10,TaeguTec,13,0,0,Пластина керамическая
,5700675,Пластина керамическая TNGA 220412    AB30,TaeguTec,5,0,0,Пластина керамическая
,5701566,Пластина керамическая TNGN 160404    AB20,TaeguTec,5,0,0,Пластина керамическая
,5701582,Пластина керамическая TNMG 160408 CE   AB30,TaeguTec,0,10,0,Пластина керамическая
,5702711,Пластина керамическая VNGA 160404    AB2010,TaeguTec,0,2,0,Пластина керамическая
,5700785,Пластина керамическая VNGA 160408    AB30,TaeguTec,0,20,0,Пластина керамическая
,5700799,Пластина керамическая WNGA 080408    AB30,TaeguTec,0,9,0,Пластина керамическая
,5400914,Пластина КНБ DCGW 11T308 LS   KB90,TaeguTec,4,0,0,Пластина КНБ
,5403067,Пластина КНБ DNGA 150612 LS2  TB670,TaeguTec,1,0,0,Пластина КНБ
,5401078,Пластина КНБ RNGN 090300 FT   KB90,TaeguTec,6,0,0,Пластина КНБ
,5401028,5401028 Пластина КНБ RNGN 120400 SD   KB90A (RNMN 120400 SD KB90A),TaeguTec,0,2,0,Пластина КНБ
,5400865,Пластина КНБ SNGA 120408 LN   KB90,TaeguTec,3,0,0,Пластина КНБ
,5403100,Пластина КНБ VBGW 110304 LS2  TB670,TaeguTec,7,0,0,Пластина КНБ
,5921815,Пластина резьбовая 06IR 1.25 ISO   TT8010,TaeguTec,0,10,0,Пластина резьбовая
,5921744,Пластина резьбовая 08IR 19 BSPT   TT8010,TaeguTec,65,0,0,Пластина резьбовая
,5920316,Пластина резьбовая 11ER A   55   TT7010,TaeguTec,10,0,0,Пластина резьбовая
