Артикул,Наименование,Производитель,Свободно,В резерве,Ожидается,Тип
,0240002 / AG02.HJ06,Кулачки каленые (комплект) HJ06 (0240002 / AG02.HJ06),Товары,0,1,0,Кулачки токарного патрона
,1124907R2,Пластина твердосплавная спец. Z угол 45⁰ 25x19.05/8x8 PHG115,Palbit,0,5,0,Пластина
,1124907R3,Пластина твердосплавная спец. Z угол 45⁰ 25x19.05/8x8 PHG125,Palbit,0,5,0,Пластина
,1124906R2,Пластина твердосплавная спец. Z угол 60⁰ 25x19.05/10x8 PHG115,Palbit,0,10,0,Пластина
,1124906R3,Пластина твердосплавная спец. Z угол 60⁰ 25x19.05/10x8 PHG125,Palbit,0,5,0,Пластина
,1124911R2,Пластина твердосплавная спец. SCMX 2506-R23 PHG115,Palbit,0,5,0,Пластина
,1124911R3,Пластина твердосплавная спец. SCMX 2506-R23 PHG125,Palbit,0,5,0,Пластина
,1056901000,Сверло центровочное 10.5690 D: 10,Helion,0,10,0,Сверло центровочное
,34318370,Круг шлифовальный 27CLA 125x22,23 ZA60Q-B,Tyrolit,4,0,0,Круги отрезные
,7GR200TP5130,Пластина канавочная 7GR200 TP5130,Derek,0,120,0,Пластина канавочная
,M.01.01.05.21.10,Державка CRDCN 3232 P06CVK (AKKO),AKKO,1,0,0,Корпус резца со сменными пластинами
,M.06.02.65.10,Корпус торцевой фрезы AFM90-3P1906-D080-A27-Z07-H (AKKO),AKKO,1,0,0,Корпус фрезы со сменными пластинами
,11IR2.00ISOQP5120_DRK,Пластина резьбовая 11IR2.00ISOQP5120,Derek,0,10,0,Пластина резьбовая
,P3200-D12SP5125_DRK,Пластина фрезерная P3200-D12 SP5125,Derek,0,10,0,Пластина для фрез
,1221050560,Сверло б/р 12.2105 D: 5.6  DIN 338  HSS TiN-Up,Helion,7,0,0,Сверло спиральное
,1221050290,Сверло б/р 12.2105 D: 2.9  DIN 338  HSS TiN-Up,Helion,5,0,0,Сверло спиральное
,1221050670,Сверло б/р 12.2105 D: 6.7  DIN 338  HSS TiN-Up,Helion,8,0,0,Сверло спиральное
,1221050430,Сверло б/р 12.2105 D: 4.3  DIN 338  HSS TiN-Up,Helion,7,0,0,Сверло спиральное
,1221050590,Сверло б/р 12.2105 D: 5.9  DIN 338  HSS TiN-Up,Helion,7,0,0,Сверло спиральное
,1221050710,Сверло б/р 12.2105 D: 7.1  DIN 338  HSS TiN-Up,Helion,7,0,0,Сверло спиральное
,ER20-060049G_DRK,Цанга метчиковая ER20-060049G,Derek,0,2,0,Цанга
,CRDCN4040W12-120-RUS,Державка токарная CRDCN 4040 W12-120-RUS,ФОРМА,0,1,0,Корпус резца со сменными пластинами
,1020000550,Сверло б/р 10.2000 D: 5.5,Helion,0,12,0,Сверло спиральное
,88182CTM,Картридж 88182CTM,unknown,0,12,0,Картиридж
,Y.14.19,Ключ 82-T15,AKKO,11,0,0,Ключ
,DH-R1.0-M16-50-2T-BP_DRK,Фреза DH-R1.0-M16-50-2T-BP,Derek,0,1,0,Фреза монолитная
,DRK_00010128,Фреза DH-R1.0-M12-50-2T-BP,Derek,0,1,0,Фреза монолитная
,unknown,Пластина керамическая CNGA 120404 T02020 TC100 (Pramet),Товары,0,0,0,Пластина керамическая
,DRK_00010817,Набор цанг ER40-24PCS-A,Derek,0,1,0,Цанга
,1113600100,Сверло 11.1360 D: 1,Helion,3,0,0,Сверло спиральное
,1113600470,Сверло 11.1360 D: 4.7,Helion,3,5,0,Сверло спиральное
,1113600250,Сверло 11.1360 D: 2.5,Helion,3,0,0,Сверло спиральное
,M.23.76,Корпус сверла ATUM-D22.2-UP44-W25-SP..07T308 (AKKO),AKKO,0,5,0,Корпус сверла
,CCMT120404-HMQP5125_DRK,Пластина CCMT120404-HM QP5125,Derek,0,180,0,Пластина
,5615220,Пластина фрезерная SPMG 140508-EM   TT9080,TaeguTec,0,30,0,Пластина для фрез
,TPGH080204LDP5015_DEREK,Пластина TPGH 080204L DP5015,Derek,0,130,0,Пластина
,FTNA0204,Винт FTNA0204,Korloy,0,4,0,Запчасть
,PTKA03510,Винт PTKA03510,Korloy,0,8,0,Запчасть
,unknown,Сверло ружейное 15,200(h5)х550мм тип 110 К15 TiN ZH20-29,Botec,0,0,0,Ружейные свёрла
,016951,Ролик для люнета AUTOBLOCK, цилиндрический арт.016951,Товары,0,9,0,Оснастка прочая
,5610511,Пластина фрезерная TNMX 2207 PNTN     TT9080,TaeguTec,10,0,0,Пластина для фрез
,1-06-008005,Державка PTGNL3232-P27 (Korloy),Korloy,2,0,0,Корпус резца со сменными пластинами
,5614665,Пластина фрезерная APKT 09T308R-EM    TT8080,TaeguTec,70,0,0,Пластина для фрез
,1750-1628,№ 1750-1628 Сухарь для Т-образных пазов,ER-EL,5,0,0,Универсально-сборное приспособление
,6785794,Пластина CNMG 120412-TM T9235,Tungaloy,0,168,0,Пластина
,11486383/50446550,Пластина OAKU 060508ER-F40 CTC5240,Ceratizit,0,20,0,Пластина
,BB.VS.130.60.055,BB.VS.130.60.055 Комплект губок Mini Grip для твердосплавных вставок к тискам шириной 130 мм.,Bribase,0,1,0,Сверло спиральное
,unknown,Головка шлифовальная GR 2 B126,Strauss,0,0,0,Головки шлифовальные
,DP-D4.5-50-4T-E_DRK,Фреза твёрдосплавная DP-D4.5-50-4T-E,Derek,0,5,0,Фреза монолитная
,5812721,Пластина фрезерная AOMT 170548R IN 2510,Ingersoll,10,0,0,Пластина для фрез
,416500104031,Хвостовик MAS403 BT40-AD FC MHD'50.48,D'Andrea,1,0,0,Хвостовик инструмента
,5740510,Пластина RCKT 2006 MO-KH 3020,SANDVIK Coromant,5,0,0,Пластина
,34671-10-1,Пластина N10-NSM-PCD-F-B1.0-L7.56 KP500,Товары,0,8,0,Летучий резец
,2680-1.00-90,Сверло центр. 2680-1.00-90,Applitec,0,3,0,Сверло центровочное
,3911-3.0,Фреза 3911-3.0,Applitec,0,3,0,Фреза монолитная
,2SS005D0200,Сверло 2SS005D0200,ARCONIT,0,1,0,Сверло спиральное
,1-02-022998,Пластина CNMG190608-GR NC3030,Korloy,0,10,0,Пластина
,5701293W,Винт MS2263,WIDIA,5,0,0,Запчасть
,TPKN2204PDTRQP5125_DRK,Пластина фрезерная TPKN2204PDTR QP5125,Derek,0,30,0,Пластина для фрез
,014-00738,Державка резьбовая спец. AVRС40-4 VDI50 168/281,VARGUS,0,8,0,Корпус резца со сменными пластинами
,013-00886,Пластина опорная спец. Y14DIR3.9GR268/328,VARGUS,0,10,0,Запчасть
,033-06027,Пластина резьбовая спец. 14DIR3.9-2.0GRVTX268/325,VARGUS,0,40,0,Пластина резьбовая
,1C002D080R,Фреза твёрдосплавная 1C002D080R,ARCONIT,0,10,0,Фреза монолитная
,1C002D040R,Фреза твёрдосплавная 1C002D040R,ARCONIT,0,5,0,Фреза монолитная
,1C002D050R,Фреза  1C002D050R,ARCONIT,0,10,0,Фреза монолитная
,5521389,Пластина RCMX 250700 RA     TT8125,TaeguTec,1,0,0,Пластина
,5519933,Пластина SNMG 120412        TT8125,TaeguTec,7,0,0,Пластина
,5518636,Пластина SNMG 120412 MC     TT8115,TaeguTec,7,0,0,Пластина
,5521003,Пластина SNMG 120412 MC     TT8125,TaeguTec,10,0,0,Пластина
,5518211,Пластина SNMG 120412 MT     TT8115,TaeguTec,7,0,0,Пластина
,5611825,Пластина фрезерная TPKT 2205 PDTR-M TT7080,TaeguTec,20,0,0,Пластина для фрез
,5519516,Пластина SNMG 120412 PC     TT8115,TaeguTec,7,0,0,Пластина
,5519517,Пластина SNMG 120412 PC     TT8125,TaeguTec,4,0,0,Пластина
,5522651,Пластина SNMG 250924 RT     TT8135,TaeguTec,50,0,0,Пластина
,5612401,Пластина фрезерная SNMX 1607 ANTN-M   TT9080,TaeguTec,10,0,0,Пластина для фрез
,6850136,Пластина CNMA120408 T5125,Tungaloy,0,10,0,Пластина
,SNMG250724-RALC1225,Пластина твердосплавная SNMG250724-RA LC1225,ASKUP,0,1,0,Пластина
,SNMM190624-HRLC1225,Пластина твердосплавная SNMM190624-HR LC1225,ASKUP,0,5,0,Пластина
,HNMX0907ANSN-RZP5125_DRK,Пластина HNMX0907ANSN-R ZP5125,Derek,0,10,0,Пластина
,Y.02.82,Прижим ACK-42 (AKKO),AKKO,7,0,0,Запчасть
,Y.32.03,Опорная пластина AARC-3-0005 (AKKO),AKKO,7,0,0,Запчасть
,Y.08.02.87,Винт 2008-M2.5X12,AKKO,7,0,0,Запчасть
,SCACR-0808X-06,Державка SCACR-0808X-06,Applitec,0,1,0,Корпус резца со сменными пластинами
,058106,Сверло 6202  1,90 MM,ILIX,0,5,0,Сверло спиральное
,5700349,Пластина керамическая CNMG 120404 CE     AB30,TaeguTec,0,10,0,Пластина керамическая
,9318240212,Фреза D:2 x1.2x12x50 Sh:4,Helion,0,7,0,Фреза монолитная
,A000301002ASAA0,Комплект метчиков M 3x0,5 SET - A 100 HSSE,Vergnano,0,2,0,Метчик
,Y.14.17,Ключ 82-T8,AKKO,4,0,0,Ключ
,22-1500-831,Винт 22-1500-831,Botec,0,5,0,Запчасть
,MGMN150-GGP5125_DRK,Пластина канавочная MGMN150-GGP5125,Derek,0,20,0,Пластина канавочная
,5403131,Пластина КНБ CNGA 120408 LS2    TB730,TaeguTec,1,0,0,Пластина КНБ
